token,scene_token,timestamp,prev_sample_token
1,,2023-08-31 13:45:36.864868,
2,,2023-08-31 13:45:36.967209,1
3,,2023-08-31 13:45:37.073431,2
4,,2023-08-31 13:45:37.166510,3
5,,2023-08-31 13:45:37.271621,4
6,,2023-08-31 13:45:37.366312,5
7,,2023-08-31 13:45:37.469622,6
8,,2023-08-31 13:45:37.563963,7
9,,2023-08-31 13:45:37.667203,8
10,,2023-08-31 13:45:37.774409,9
11,,2023-08-31 13:45:37.867528,10
12,,2023-08-31 13:45:37.973778,11
13,,2023-08-31 13:45:38.064397,12
14,,2023-08-31 13:45:38.174058,13
15,,2023-08-31 13:45:38.265393,14
16,,2023-08-31 13:45:38.369562,15
17,,2023-08-31 13:45:38.463223,16
18,,2023-08-31 13:45:38.569090,17
19,,2023-08-31 13:45:38.683025,18
20,,2023-08-31 13:45:38.767752,19
21,,2023-08-31 13:45:38.880945,20
22,,2023-08-31 13:45:38.974075,21
23,,2023-08-31 13:45:39.068673,22
24,,2023-08-31 13:45:39.172662,23
25,1,2023-08-31 13:45:39.268522,24
26,,2023-08-31 13:45:39.374416,25
27,,2023-08-31 13:45:39.468929,26
28,,2023-08-31 13:45:39.578033,27
29,,2023-08-31 13:45:39.675956,28
30,,2023-08-31 13:45:39.770742,29
31,,2023-08-31 13:45:39.868899,30
32,,2023-08-31 13:45:39.970480,31
33,,2023-08-31 13:45:40.064769,32
34,1,2023-08-31 13:45:40.170027,33
35,,2023-08-31 13:45:40.272590,34
36,,2023-08-31 13:45:40.368029,35
37,,2023-08-31 13:45:40.471886,36
38,,2023-08-31 13:45:40.575723,37
39,,2023-08-31 13:45:40.670607,38
40,,2023-08-31 13:45:40.768676,39
41,,2023-08-31 13:45:40.871379,40
42,,2023-08-31 13:45:40.968020,41
43,,2023-08-31 13:45:41.074870,42
44,1,2023-08-31 13:45:41.173185,43
45,,2023-08-31 13:45:41.273740,44
46,,2023-08-31 13:45:41.370044,45
47,,2023-08-31 13:45:41.465360,46
48,,2023-08-31 13:45:41.570454,47
49,,2023-08-31 13:45:41.663685,48
50,,2023-08-31 13:45:41.771852,49
51,,2023-08-31 13:45:41.878746,50
52,,2023-08-31 13:45:41.969361,51
53,,2023-08-31 13:45:42.071601,52
54,,2023-08-31 13:45:42.167198,53
55,,2023-08-31 13:45:42.271696,54
56,,2023-08-31 13:45:42.370626,55
57,1,2023-08-31 13:45:42.476076,56
58,,2023-08-31 13:45:42.582423,57
59,,2023-08-31 13:45:42.667324,58
60,,2023-08-31 13:45:42.771513,59
61,,2023-08-31 13:45:42.866707,60
62,,2023-08-31 13:45:42.971454,61
63,,2023-08-31 13:45:43.064318,62
64,,2023-08-31 13:45:43.169332,63
65,,2023-08-31 13:45:43.264531,64
66,,2023-08-31 13:45:43.368026,65
67,,2023-08-31 13:45:43.476574,66
68,,2023-08-31 13:45:43.567279,67
69,,2023-08-31 13:45:43.674567,68
70,,2023-08-31 13:45:43.766811,69
71,,2023-08-31 13:45:43.869389,70
72,1,2023-08-31 13:45:43.965552,71
73,,2023-08-31 13:45:44.068824,72
74,,2023-08-31 13:45:44.172718,73
75,,2023-08-31 13:45:44.268462,74
76,,2023-08-31 13:45:44.375866,75
77,,2023-08-31 13:45:44.472937,76
78,,2023-08-31 13:45:44.583624,77
79,,2023-08-31 13:45:44.672720,78
80,,2023-08-31 13:45:44.776275,79
81,,2023-08-31 13:45:44.776275,80
82,,2023-08-31 13:45:45.164707,81
83,,2023-08-31 13:45:45.164707,82
84,,2023-08-31 13:45:45.270074,83
85,,2023-08-31 13:45:45.270074,84
86,,2023-08-31 13:45:45.576565,85
87,,2023-08-31 13:45:45.664804,86
88,,2023-08-31 13:45:46.073549,87
89,,2023-08-31 13:45:46.169018,88
90,,2023-08-31 13:45:46.169018,89
91,,2023-08-31 13:45:46.472092,90
92,,2023-08-31 13:45:46.565118,91
93,,2023-08-31 13:45:46.565118,92
94,,2023-08-31 13:45:46.766334,93
95,,2023-08-31 13:45:46.868584,94
96,,2023-08-31 13:45:46.979135,95
97,,2023-08-31 13:45:46.979135,96
98,,2023-08-31 13:45:47.269200,97
99,,2023-08-31 13:45:47.371148,98
100,,2023-08-31 13:45:47.463625,99
101,,2023-08-31 13:45:47.573056,100
102,,2023-08-31 13:45:47.666802,101
103,,2023-08-31 13:45:47.770125,102
