,token,timestamp,sample_token,scene_token,measurement_type,calibrated_sensor_name,sensor_data_type
0,1,2023-09-29 12:39:24.015371,,1,image_raw,camera_basler_cam_fc,file
1,2,2023-09-29 12:39:24.019618,,1,image_raw,camera_basler_cam_fc,file
2,3,2023-09-29 12:39:24.098637,,1,image_raw,camera_basler_cam_fc,file
3,4,2023-09-29 12:39:24.195769,,1,image_raw,camera_basler_cam_fc,file
4,14,2023-09-29 12:39:25.197142,,1,image_raw,camera_basler_cam_fc,file
5,19,2023-09-29 12:39:25.696125,,1,image_raw,camera_basler_cam_fc,file
6,20,2023-09-29 12:39:25.795646,,1,image_raw,camera_basler_cam_fc,file
7,21,2023-09-29 12:39:25.894656,,1,image_raw,camera_basler_cam_fc,file
8,30,2023-09-29 12:39:26.795823,,1,image_raw,camera_basler_cam_fc,file
9,35,2023-09-29 12:39:27.295078,,1,image_raw,camera_basler_cam_fc,file
10,38,2023-09-29 12:39:27.596473,,1,image_raw,camera_basler_cam_fc,file
11,39,2023-09-29 12:39:27.696060,,1,image_raw,camera_basler_cam_fc,file
12,40,2023-09-29 12:39:27.800828,,1,image_raw,camera_basler_cam_fc,file
13,41,2023-09-29 12:39:28.097286,,1,image_raw,camera_basler_cam_fc,file
14,42,2023-09-29 12:39:28.099299,,1,image_raw,camera_basler_cam_fc,file
15,43,2023-09-29 12:39:28.100093,,1,image_raw,camera_basler_cam_fc,file
16,44,2023-09-29 12:39:28.197056,,1,image_raw,camera_basler_cam_fc,file
17,45,2023-09-29 12:39:28.295053,,1,image_raw,camera_basler_cam_fc,file
18,46,2023-09-29 12:39:28.395386,,1,image_raw,camera_basler_cam_fc,file
19,47,2023-09-29 12:39:28.495241,,1,image_raw,camera_basler_cam_fc,file
20,49,2023-09-29 12:39:23.955619,,1,image_raw,camera_basler_cam_rr,file
21,50,2023-09-29 12:39:24.050153,,1,image_raw,camera_basler_cam_rr,file
22,51,2023-09-29 12:39:24.149837,,1,image_raw,camera_basler_cam_rr,file
23,61,2023-09-29 12:39:25.149551,,1,image_raw,camera_basler_cam_rr,file
24,66,2023-09-29 12:39:25.650443,,1,image_raw,camera_basler_cam_rr,file
25,67,2023-09-29 12:39:25.749867,,1,image_raw,camera_basler_cam_rr,file
26,68,2023-09-29 12:39:25.850439,,1,image_raw,camera_basler_cam_rr,file
27,77,2023-09-29 12:39:26.749438,,1,image_raw,camera_basler_cam_rr,file
28,82,2023-09-29 12:39:27.249357,,1,image_raw,camera_basler_cam_rr,file
29,85,2023-09-29 12:39:27.549916,,1,image_raw,camera_basler_cam_rr,file
30,86,2023-09-29 12:39:27.650086,,1,image_raw,camera_basler_cam_rr,file
31,87,2023-09-29 12:39:27.749773,,1,image_raw,camera_basler_cam_rr,file
32,88,2023-09-29 12:39:27.849817,,1,image_raw,camera_basler_cam_rr,file
33,89,2023-09-29 12:39:27.949793,,1,image_raw,camera_basler_cam_rr,file
34,90,2023-09-29 12:39:28.049880,,1,image_raw,camera_basler_cam_rr,file
35,91,2023-09-29 12:39:28.154979,,1,image_raw,camera_basler_cam_rr,file
36,92,2023-09-29 12:39:28.249210,,1,image_raw,camera_basler_cam_rr,file
37,93,2023-09-29 12:39:28.349431,,1,image_raw,camera_basler_cam_rr,file
38,94,2023-09-29 12:39:28.449547,,1,image_raw,camera_basler_cam_rr,file
39,95,2023-09-29 12:39:28.549556,,1,image_raw,camera_basler_cam_rr,file
40,97,2023-09-29 12:39:28.749887,,1,image_raw,camera_basler_cam_rr,file
41,98,2023-09-29 12:39:23.994840,,1,image_raw,camera_basler_cam_rc,file
42,99,2023-09-29 12:39:24.079738,,1,image_raw,camera_basler_cam_rc,file
43,100,2023-09-29 12:39:24.180598,,1,image_raw,camera_basler_cam_rc,file
44,110,2023-09-29 12:39:25.180321,,1,image_raw,camera_basler_cam_rc,file
45,115,2023-09-29 12:39:25.680120,,1,image_raw,camera_basler_cam_rc,file
46,117,2023-09-29 12:39:25.986012,,1,image_raw,camera_basler_cam_rc,file
47,118,2023-09-29 12:39:25.988153,,1,image_raw,camera_basler_cam_rc,file
48,126,2023-09-29 12:39:26.780488,,1,image_raw,camera_basler_cam_rc,file
49,131,2023-09-29 12:39:27.280960,,1,image_raw,camera_basler_cam_rc,file
50,134,2023-09-29 12:39:27.580391,,1,image_raw,camera_basler_cam_rc,file
51,135,2023-09-29 12:39:27.681560,,1,image_raw,camera_basler_cam_rc,file
52,136,2023-09-29 12:39:27.888509,,1,image_raw,camera_basler_cam_rc,file
53,137,2023-09-29 12:39:27.895866,,1,image_raw,camera_basler_cam_rc,file
54,138,2023-09-29 12:39:27.981478,,1,image_raw,camera_basler_cam_rc,file
55,139,2023-09-29 12:39:28.080262,,1,image_raw,camera_basler_cam_rc,file
56,140,2023-09-29 12:39:28.183300,,1,image_raw,camera_basler_cam_rc,file
57,141,2023-09-29 12:39:28.591720,,1,image_raw,camera_basler_cam_rc,file
58,142,2023-09-29 12:39:28.596918,,1,image_raw,camera_basler_cam_rc,file
59,143,2023-09-29 12:39:28.597661,,1,image_raw,camera_basler_cam_rc,file
60,144,2023-09-29 12:39:28.600827,,1,image_raw,camera_basler_cam_rc,file
61,146,2023-09-29 12:39:28.779931,,1,image_raw,camera_basler_cam_rc,file
62,147,2023-09-29 12:39:23.880432,,1,points,lidar_innovusion_front,file
63,148,2023-09-29 12:39:23.974082,,1,points,lidar_innovusion_front,file
64,149,2023-09-29 12:39:24.077208,,1,points,lidar_innovusion_front,file
65,150,2023-09-29 12:39:24.179237,,1,points,lidar_innovusion_front,file
66,160,2023-09-29 12:39:25.184461,,1,points,lidar_innovusion_front,file
67,165,2023-09-29 12:39:25.673697,,1,points,lidar_innovusion_front,file
68,166,2023-09-29 12:39:25.770470,,1,points,lidar_innovusion_front,file
69,167,2023-09-29 12:39:25.874036,,1,points,lidar_innovusion_front,file
70,176,2023-09-29 12:39:26.779073,,1,points,lidar_innovusion_front,file
71,181,2023-09-29 12:39:27.279986,,1,points,lidar_innovusion_front,file
72,184,2023-09-29 12:39:27.582143,,1,points,lidar_innovusion_front,file
73,185,2023-09-29 12:39:27.677077,,1,points,lidar_innovusion_front,file
74,186,2023-09-29 12:39:27.777385,,1,points,lidar_innovusion_front,file
75,187,2023-09-29 12:39:27.870940,,1,points,lidar_innovusion_front,file
